"","Watershed","Site.ID","Observer","Spp","Day","SurveyTime","TTD"
"445","Quinebaug",5632,"Amy Mayer","beaver",190,53,13
"446","Quinebaug",5632,"John Crockett","other",190,54,4
"447","Quinebaug",5632,"John Crockett","beaver",190,54,13
"448","Quinebaug",5632,"John Crockett","otter",190,54,18
"449","Quinebaug",5756,"Amy Mayer","beaver",226,38,1
"450","Quinebaug",5756,"John Crockett","muskrat",226,34,4
"451","Quinebaug",5756,"John Crockett","beaver",226,34,7
"452","Quinebaug",5756,"John Crockett","other",226,34,11
"453","Quinebaug",5761,"John Crockett","beaver",212,50,8
"454","Quinebaug",5761,"John Crockett","muskrat",212,50,11
"455","Quinebaug",5761,"Kylie Rezendes","beaver",212,54,5
"456","Quinebaug",5761,"Kylie Rezendes","other",212,54,21
"457","Quinebaug",5771,"Amy Mayer","beaver",226,53,5
"458","Quinebaug",5771,"John Crockett","beaver",226,52,9
"459","Quinebaug",5771,"John Crockett","other",226,52,17
"460","Quinebaug",6221,"John Crockett","beaver",212,63,33
"461","Quinebaug",6221,"Kylie Rezendes","beaver",212,63,12
"462","Quinebaug",6221,"Kylie Rezendes","muskrat",212,63,39
"463","Quinebaug",6824,"John Crockett","beaver",212,66,13
"464","Quinebaug",6824,"Kylie Rezendes","beaver",212,69,20
"465","Quinebaug",6831,"Amy Mayer","beaver",190,75,7
"466","Quinebaug",6831,"Amy Mayer","other",190,75,37
"467","Quinebaug",6831,"Amy Mayer","otter",190,75,40
"468","Quinebaug",9630,"Kylie Rezendes","beaver",175,91,3
"469","Quinebaug",9630,"John Crockett","beaver",175,100,2
"470","Quinebaug",9630,"John Crockett","otter",175,100,60
"471","Quinebaug",9630,"Kylie Rezendes","otter",175,91,35
"472","Quinebaug",9698,"Kylie Rezendes","beaver",189,27,12
"473","Quinebaug",9698,"Kylie Rezendes","muskrat",189,27,14
"474","Quinebaug",9698,"John Crockett","beaver",189,26,12
"475","Quinebaug",9698,"John Crockett","muskrat",189,26,14
"476","Quinebaug",10122,"Kylie Rezendes","muskrat",175,59,8
"477","Quinebaug",10122,"Kylie Rezendes","beaver",175,59,16
"478","Quinebaug",10122,"John Crockett","beaver",175,54,11
"479","Quinebaug",10122,"John Crockett","otter",175,54,42
"480","Quinebaug",10392,"Kylie Rezendes","beaver",189,86,7
"481","Quinebaug",10392,"Kylie Rezendes","muskrat",189,86,12
"482","Quinebaug",10392,"Kylie Rezendes","otter",189,86,37
"483","Quinebaug",10392,"John Crockett","beaver",189,84,2
"484","Quinebaug",10392,"John Crockett","other",189,84,17
"485","Quinebaug",10392,"John Crockett","otter",189,84,37
"486","Quinebaug",10392,"John Crockett","muskrat",189,84,67
"487","Quinebaug",6831,"John Crockett","beaver",190,82,4
"488","Quinebaug",6831,"John Crockett","otter",190,82,39
"489","Quinebaug",6831,"John Crockett","other",190,82,57
